AOL,Course Code,Course Name,Exam Board,KS,Label,Provider,School,School Id,Subject2,Year,Pupils
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,Belfast Boys' Model School,1210022,ICT,11,61
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,St Patrick's Grammar (Armagh),5420268,ICT,11,23
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,Dunluce School,3210222,ICT,11,22
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,Malone College,1260294,ICT,11,59
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,St Louis' Grammar School,5420045,ICT,11,15
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,St Joseph's College,1230275,ICT,11,23
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,Belfast Model School for Girls,1210021,ICT,11,61
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,Magherafelt High School,3210035,ICT,11,11
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,St Kevin's College,2230322,ICT,11,11
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,St Conor's College,3230318,ICT,11,9
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,Breda Academy,4210316,ICT,11,14
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,Dominican College,3420068,ICT,11,15
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,City of Armagh High School,5210121,ICT,11,17
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,St Patrick's College,3230234,ICT,11,27
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,St Paul's High (Bessbrook),5230157,ICT,11,46
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,Strabane Academy,2410311,ICT,11,31
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,St Benedict's College,3230308,ICT,11,20
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,Coleraine College,3210300,ICT,11,20
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,St Mary's Christian Brothers' Grammar School,1420021,ICT,11,12
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,Aughnacloy College,5210153,ICT,11,21
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,St John the Baptist College,5230321,ICT,11,30
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,Mercy College,1230104,ICT,11,13
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Collaboration with other school,St Fanchea's College,2230099,ICT,11,3
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,Nendrum College,4210045,ICT,11,17
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,St Patrick's & St Brigid's College,2230122,ICT,11,17
ST,500/6743/6,OCR Level 2 ITQ Certificate in IT User Skills (QCF),OCR,4,A,Own School,St Colm's High School (Twinbrook),4230223,ICT,11,38
ST,600/6071/2,Pearson BTEC Level 1 Level 2 First Certificate in Information and Creative Technology,Pearson,4,A,Own School,Blackwater Integrated College,4260309,ICT,11,12
ST,600/6071/2,Pearson BTEC Level 1 Level 2 First Certificate in Information and Creative Technology,Pearson,4,A,Own School,Hazelwood Integrated College,1260269,ICT,11,52
ST,600/6071/2,Pearson BTEC Level 1 Level 2 First Certificate in Information and Creative Technology,Pearson,4,A,Own School,St Colmcille's High School,4230102,ICT,11,20
ST,600/6071/2,Pearson BTEC Level 1 Level 2 First Certificate in Information and Creative Technology,Pearson,4,A,Own School,Cookstown High,5210230,ICT,11,39
ST,600/6071/2,Pearson BTEC Level 1 Level 2 First Certificate in Information and Creative Technology,Pearson,4,A,Own School,Carrickfergus Academy,3210323,ICT,11,35
ST,500/7832/X,Pearson BTEC Level 2 Certificate for IT Users (ITQ) (QCF),Pearson,4,A,Own School,Glengormley High School,3210202,ICT,11,74
ST,500/7832/X,Pearson BTEC Level 2 Certificate for IT Users (ITQ) (QCF),Pearson,4,A,Own School,Dromore High,5210064,ICT,11,24
