,year,School,Course Name and Course Code,Label,AOL,Pupils,Provider,subject
106,11,Fivemiletown College (5210097),Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology (600/4789/6),A,ST,10,Own School,ICT
107,11,St Patrick's College (Banbridge) (5230076),Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology (600/4789/6),A,ST,40,Own School,ICT
108,11,Brownlow College (5250216),Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology (600/4789/6),A,ST,20,Own School,ICT
109,11,St Patrick's College (3230084),Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology (600/4789/6),A,ST,23,Own School,ICT
110,11,Strangford College (4260295),Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology (600/4789/6),A,ST,57,Own School,ICT
111,11,Fort Hill Integrated College (4250072),Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology (600/4789/6),A,ST,20,Own School,ICT
112,11,Abbey Community College (3210313),Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology (600/4789/6),A,ST,38,Own School,ICT
113,12,St Patrick's Academy (Lisburn) (4230165),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,14,Own School,ICT
114,12,St Louis' Grammar School (5420045),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,19,Own School,ICT
115,12,Larne High School (3210038),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,39,Own School,ICT
116,12,Lisnagarvey High School (4210051),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,105,Own School,ICT
117,12,Malone College (1260294),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,22,Own School,ICT
118,12,St Mark's High (5230135),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,46,Own School,ICT
119,12,St Columba's College (4230067),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,17,Own School,ICT
120,12,St Mary's High (Newry) (5230108),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,18,Own School,ICT
121,12,Dromore High (5210064),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,46,Own School,ICT
122,12,St Colman's High School (4230161),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,15,Own School,ICT
123,12,St Paul's High (Bessbrook) (5230157),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,33,Own School,ICT
124,12,Drumglass High (5210231),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,22,Own School,ICT
125,12,St Joseph's College (1230275),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,25,Own School,ICT
126,12,St Genevieve's High (1230155),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,51,Own School,ICT
127,12,St Mary's Limavady (2230077),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,62,Own School,ICT
128,12,Magherafelt High School (3210035),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,21,Own School,ICT
129,12,Limavady High School (2210302),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),"A
:selected:",LLW,106,Own School,ICT
130,12,Ashfield Girls' High School (1210014),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),"A
:selected:",LLW,54,Own School,ICT
131,12,Ulidia Integrated College (3260299),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),"A
:selected:",LLW,15,Own School,ICT
132,12,Dunluce School (3210222),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,33,Own School,ICT
133,12,Holy Cross College (2230301),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,36,Own School,ICT
134,12,Priory Integrated College (4250024),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,23,Own School,ICT
135,12,Blackwater Integrated College (4260309),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,15,Own School,ICT
136,12,St Joseph's High (Crossmaglen) (5230167),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,10,Own School,ICT
137,12,De La Salle College (1230182),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,8,Own School,ICT
138,12,Cookstown High (5210230),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,12,Own School,ICT
139,12,Abbey Community College (3210313),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,132,Own School,ICT
140,12,St Ronan's College (5420314),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,90,Own School,ICT
141,12,Belfast Boys' Model School (1210022),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,72,Own School,ICT
142,12,Ballymoney High School (3210133),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,103,Own School,ICT
143,12,St Mary's Christian Brothers' Grammar School (1420021),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,21,Own School,ICT
144,12,Movilla High School (4210012),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,9,Own School,ICT
145,12,St Joseph's Boys' School (2230131),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,51,Own School,ICT
146,12,Lismore Comprehensive (5230213),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,22,Own School,ICT
147,12,Sacred Heart College (2230298),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,21,Own School,ICT
148,12,Craigavon Senior High School (5210282),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,57,Own School,ICT
149,12,Dean Maguirc College (2230138),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,47,Own School,ICT
150,12,Blessed Trinity College (1230321),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,63,Own School,ICT
151,12,St Ciaran's College (5230152),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,6,Own School,ICT
152,12,Our Lady of Lourdes High School (3230075),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,18,Own School,ICT
153,12,Saintfield High School (4210063),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,16,Own School,ICT
154,12,St Patrick's College (Dungannon) (5230293),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,25,Own School,ICT
155,12,Lagan College (4260255),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,13,Own School,ICT
156,12,Wellington College (1410270),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,16,Own School,ICT
157,12,St Joseph's College (Enniskillen) (2230100),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,3,Own School,ICT
158,12,All Saints College (1230324),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,90,Own School,ICT
159,12,St Patrick's College (Dungiven) (2230144),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,22,Own School,ICT
160,12,St Colmcille's High School (4230102),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,19,Own School,ICT
161,12,Rathfriland High (5210127),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,14,Own School,ICT
162,12,Hazelwood Integrated College (1260269),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,27,Own School,ICT
163,12,St Patrick's Grammar (Armagh) (5420268),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,16,Own School,ICT
164,12,Strabane Academy (2410311),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,35,Own School,ICT
165,12,Aughnacloy College (5210153),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,17,Own School,ICT
166,12,City of Armagh High School (5210121),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,12,Own School,ICT
167,12,St Kevin's College (2230322),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,13,Own School,ICT
168,12,St Conor's College (3230318),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,23,Own School,ICT
169,12,Coleraine College (3210300),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,11,Own School,ICT
170,12,Breda Academy (4210316),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,13,Own School,ICT
171,12,Dominican College (3420068),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,12,Own School,ICT
172,12,St Patrick's College (3230234),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,11,Own School,ICT
173,12,St Benedict's College (3230308),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,16,Own School,ICT
174,12,Fort Hill Integrated College (4250072),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,11,Own School,ICT
175,12,Belfast Model School for Girls (1210021),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,128,Own School,ICT
176,12,St Patrick's & St Brigid's College (2230122),OCR Level 2 Extended Certificate in IT User Skills (ITQ) (QCF) (600/1062/9),A,ST,20,Own School,ICT
177,12,St Colm's High School (Twinbrook) (4230223),OCR Level 2 ITQ Certificate in IT User Skills (QCF) (500/6743/6),A,ST,23,Own School,ICT
178,12,Mercy College (1230104),OCR Level 2 ITQ Certificate in IT User Skills (QCF) (500/6743/6),A,ST,39,Own School,ICT
179,12,St Benedict's College (3230308),Pearson BTEC Level 1 Level 2 First Certificate in Information and Creative Technology (600/6071/2),A,ST,22,Own School,ICT
180,12,Cookstown High (5210230),Pearson BTEC Level 1 Level 2 First Certificate in Information and Creative Technology (600/6071/2),A,ST,46,Own School,ICT
181,12,Blackwater Integrated College (4260309),Pearson BTEC Level 1 Level 2 First Certificate in Information and Creative Technology (600/6071/2),A,ST,8,Own School,ICT
182,12,Hazelwood Integrated College (1260269),Pearson BTEC Level 1 Level 2 First Certificate in Information and Creative Technology (600/6071/2),A,ST,53,Own School,ICT
183,12,Carrickfergus Academy (3210323),Pearson BTEC Level 1 Level 2 First Certificate in Information and Creative Technology (600/6071/2),A,ST,37,Own School,ICT
184,12,Glengormley High School (3210202),Pearson BTEC Level 2 Certificate for IT Users (ITQ) (QCF) (500/7832/X),A,ST,53,Own School,ICT
185,12,Bangor Academy & Sixth Form College (4210296),Pearson BTEC Level 2 Certificate for IT Users (ITQ) (QCF) (500/7832/X),A,ST,31,Own School,ICT
186,12,St Columbanus' College (4230107),Pearson BTEC Level 2 Certificate for IT Users (ITQ) (QCF) (500/7832/X),A,ST,54,Own School,ICT
187,12,Ashfield Boys' High School (1210015),Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology (600/4789/6),A,ST,114,Own School,ICT
188,12,St Joseph's Boys' High (Newry) (5230056),Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology (600/4789/6),A,ST,12,Own School,ICT
189,12,St Mary's College (Derry) (2230081),Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology (600/4789/6),A,ST,9,Own School,ICT
190,12,St Mary's High School (Downpatrick) (4230023),Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology (600/4789/6),A,ST,17,Own School,ICT
191,12,St Brigid's College (Derry) (2230225),Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology (600/4789/6),A,ST,15,Own School,ICT
192,12,Rathfriland High (5210127),Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology (600/4789/6),A,ST,17,Own School,ICT
193,12,St Kevin's College (2230322),Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology (600/4789/6),A,ST,6,Own School,ICT
194,12,Lismore Comprehensive (5230213),Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology (600/4789/6),A,ST,88,Own School,ICT
195,12,City of Armagh High School (5210121),Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology (600/4789/6),A,ST,15,Own School,ICT
196,12,Banbridge High (5210047),Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology (600/4789/6),A,ST,18,Own School,ICT
197,12,Sacred Heart College (2230298),Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology (600/4789/6),A,ST,39,Own School,ICT
198,12,Nendrum College (4210045),Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology (600/4789/6),A,ST,24,Own School,ICT
199,12,Devenish College (2210312),Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology (600/4789/6),A,ST,29,Own School,ICT
200,12,Integrated College Dungannon (5260286),Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology (600/4789/6),A,ST,44,Own School,ICT
